FFA-W3-211_NACA63-618_blend
0.98338 	 0.00425
0.94364 	 0.01265
0.89588 	 0.02293
0.84101 	 0.03523
0.78009 	 0.04916
0.71427 	 0.0642
0.64483 	 0.07934
0.57309 	 0.09341
0.50043 	 0.10516
0.42825 	 0.11355
0.35791 	 0.11754
0.29078 	 0.11624
0.22814 	 0.10972
0.17118 	 0.0988
0.12101 	 0.0846
0.07857 	 0.06813
0.0447 	 0.05038
0.02003 	 0.03251
0.00503 	 0.01549
0.0 	 0.0
0.00126 	 -0.00669
0.0113 	 -0.01925
0.03118 	 -0.03154
0.06052 	 -0.04339
0.09877 	 -0.05453
0.14518 	 -0.06425
0.19888 	 -0.07193
0.25882 	 -0.07666
0.32386 	 -0.07768
0.39276 	 -0.07394
0.46419 	 -0.06505
0.53679 	 -0.05173
0.60917 	 -0.03644
0.67992 	 -0.02162
0.74771 	 -0.00924
0.81124 	 -0.00033
0.86927 	 0.00466
0.92071 	 0.00597
0.96457 	 0.00385
1.0 	 -0.00065
