# FFA-W3-211 Polar
# Re = 10000000.0
angle 	 cl 	 cd 	 glide_ratio 
-180.0	 0.0	 0.05	 0.0 
-177.71428571428572	 0.03526196749837121	 0.05	 0.7052393499674242 
-175.42857142857142	 0.07052393499674281	 0.05	 1.4104786999348562 
-173.14285714285714	 0.10578590249511402	 0.05	 2.1157180499022803 
-170.8571428571429	 0.14104786999348562	 0.05	 2.8209573998697124 
-168.57142857142858	 0.17630983749185686	 0.05	 3.526196749837137 
-166.2857142857143	 0.21157180499022804	 0.05	 4.231436099804561 
-164.0	 0.24683377248859964	 0.05	 4.936675449771992 
-161.71428571428572	 0.28209573998697085	 0.055372685234815006	 5.094492686975673 
-159.42857142857142	 0.3173577074853424	 0.08282177551092045	 3.8318148280158195 
-157.14285714285717	 0.3526196749837137	 0.12556157888334596	 2.808340561815633 
-154.85714285714286	 0.3878816424820853	 0.17179362085497646	 2.2578349565699214 
-152.57142857142858	 0.42314360998045647	 0.22123221470378446	 1.9126672421872115 
-150.28571428571428	 0.45840557747882804	 0.2735720235374573	 1.6756303204960703 
-148.0	 0.4936675449771993	 0.3284899883354445	 1.5028389372801225 
-143.8571428571429	 0.5178686154966322	 0.4334938802781715	 1.194638815118492 
-139.71428571428572	 0.532363896813595	 0.5437233185486685	 0.9791080843003117 
-135.57142857142856	 0.5365979734452553	 0.6569536286745052	 0.8167973354952249 
-131.42857142857144	 0.5303056890138329	 0.7709043107745845	 0.6879007959898363 
-127.28571428571429	 0.5134897592756826	 0.8832862128142485	 0.5813401724449507 
-123.14285714285715	 0.48640473252458066	 0.9918488511104969	 0.49040207283598775 
-119.0	 0.4495420491556365	 1.0944268926517475	 0.41075566780565503 
-114.85714285714288	 0.40361374048250886	 1.188984831456499	 0.33946079866139633 
-110.71428571428572	 0.3495336453660192	 1.2736589290454254	 0.2744326894704736 
-106.5714285714286	 0.2883957263335649	 1.3467955463506422	 0.21413474904562851 
-102.42857142857143	 0.22144946960466028	 1.4069850698385045	 0.1573929065431224 
-98.28571428571428	 0.15007260307576803	 1.453090726702315	 0.1032782057706383 
-94.14285714285715	 0.07574153128707875	 1.4842716907660747	 0.051029425244906744 
-90.0	 6.429395695523604e-17	 1.5	 4.286263797015736e-17 
-85.85714285714286	 -0.07574153128707853	 1.4842716907660747	 -0.0510294252449066 
-81.71428571428572	 -0.15007260307576803	 1.453090726702315	 -0.1032782057706383 
-77.57142857142857	 -0.22144946960466005	 1.4069850698385047	 -0.1573929065431222 
-73.42857142857143	 -0.2883957263335647	 1.3467955463506425	 -0.21413474904562832 
-69.28571428571428	 -0.3495336453660192	 1.2736589290454254	 -0.2744326894704736 
-65.14285714285714	 -0.4036137404825087	 1.1889848314564995	 -0.33946079866139606 
-61.0	 -0.4495420491556365	 1.0944268926517475	 -0.41075566780565503 
-56.857142857142854	 -0.4864047325245806	 0.9918488511104974	 -0.49040207283598747 
-52.714285714285715	 -0.5134897592756826	 0.8832862128142485	 -0.5813401724449507 
-48.57142857142857	 -0.5303056890138329	 0.7709043107745851	 -0.6879007959898359 
-44.42857142857142	 -0.5365979734452553	 0.6569536286745049	 -0.8167973354952254 
-40.285714285714285	 -0.5323638968135951	 0.5437233185486688	 -0.9791080843003114 
-36.14285714285714	 -0.5178686154966322	 0.4334938802781715	 -1.194638815118492 
-32.0	 -0.41387696393302636	 0.30747596984464914	 -1.3460465354158762 
-28.0	 -0.6135768681714694	 0.28347078599319286	 -2.164515352161205 
-24.000000000000004	 -1.056385643666067	 0.13541591764589395	 -7.801044825678944 
-20.0	 -1.1356818178427857	 0.0795466684089347	 -14.276924987033468 
-18.0	 -1.2084559521408718	 0.06423471989291293	 -18.81312713989435 
-16.0	 -1.182916302032777	 0.0479675454216388	 -24.660763681669394 
-14.0	 -1.1600610792518475	 0.034030164274145354	 -34.08920009631607 
-12.000000000000002	 -1.0972693089493828	 0.021397807055534356	 -51.27952159310566 
-10.0	 -0.8873189203821055	 0.013996479702583827	 -63.39586376267895 
-8.0	 -0.6354770172295855	 0.010784076526700024	 -58.92734678358633 
-6.000000000000001	 -0.38250734455834046	 0.008886906577682426	 -43.04167498721391 
-4.0	 -0.12673193730198665	 0.006948378096027567	 -18.23906752777891 
-2.0	 0.12280257244085752	 0.006621406706511545	 18.54629656264619 
-1.0	 0.24669730455180028	 0.006617486101649926	 37.27961052918444 
0.0	 0.37005382565470796	 0.00667962230580832	 55.400411686889036 
1.0	 0.4929152674007631	 0.0067879327994986765	 72.6164035444145 
2.0	 0.6149220147298263	 0.006985612756422858	 88.02692565007156 
3.0000000000000004	 0.7364734827621472	 0.007185046605621676	 102.50086369459602 
4.0	 0.8568489339640477	 0.007481930440964706	 114.5224405285392 
5.0	 0.9756275486682474	 0.007905427267414748	 123.4123742671912 
6.000000000000001	 1.0908058741946252	 0.008671403581826886	 125.793461681415 
7.0	 1.2029453239335788	 0.0096243141824352	 124.99023838280416 
8.0	 1.3104213841695092	 0.010870176841204896	 120.55198395689177 
9.0	 1.4142871099229875	 0.012244124923114386	 115.50740610732456 
10.0	 1.51341712718498	 0.013768387452966841	 109.91970790732401 
11.0	 1.6085463379883127	 0.015343334424001143	 104.83681666171007 
12.000000000000002	 1.696122297396129	 0.017259646520492472	 98.27097532862645 
13.0	 1.769310028911016	 0.01994689462764949	 88.70102649755204 
14.0	 1.8197127111403673	 0.024135427634149203	 75.39591751693915 
14.999999999999998	 1.8344271493922617	 0.03115897679389657	 58.873151115526674 
16.0	 1.7986278758318592	 0.04258622458720413	 42.2349690132497 
18.0	 1.6392960843837663	 0.07542668872715223	 21.73363450056438 
20.0	 1.5349764636260839	 0.10908558321111277	 14.071304552274812 
24.000000000000004	 1.378150481894837	 0.18409699399358218	 7.486002090522351 
28.0	 1.154902758229382	 0.2714077523450566	 4.255231283007298 
32.0	 0.7052393499674277	 0.3284899883354445	 2.1469127675430326 
36.14285714285714	 0.7398123078523318	 0.4334938802781715	 1.7066268787407028 
40.28571428571429	 0.7605198525908501	 0.5437233185486691	 1.3987258347147298 
44.42857142857143	 0.7665685334932218	 0.6569536286745052	 1.16685333642175 
48.57142857142857	 0.757579555734047	 0.7709043107745851	 0.9827154228426227 
52.714285714285715	 0.7335567989652609	 0.8832862128142485	 0.830485960635644 
56.857142857142854	 0.6948639036065437	 0.9918488511104974	 0.7005743897656963 
61.0	 0.642202927365195	 1.0944268926517475	 0.5867938111509358 
65.14285714285715	 0.5765910578321551	 1.1889848314564995	 0.48494399808770855 
