FFA-W3-270
0.98423 	 0.00858
0.94446 	 0.01721
0.89666 	 0.0277
0.84175 	 0.04014
0.78077 	 0.05434
0.7149 	 0.06985
0.64541 	 0.08594
0.57361 	 0.10156
0.50089 	 0.1155
0.42864 	 0.12658
0.35825 	 0.1337
0.29107 	 0.13592
0.22837 	 0.13253
0.17137 	 0.12342
0.12115 	 0.10904
0.07869 	 0.09043
0.04478 	 0.06896
0.02009 	 0.04593
0.00508 	 0.02251
5e-05 	 0.00209
0.00131 	 -0.01038
0.01135 	 -0.0303
0.03125 	 -0.05129
0.06062 	 -0.07304
0.0989 	 -0.094
0.14535 	 -0.11215
0.19909 	 -0.12563
0.25908 	 -0.13312
0.32418 	 -0.13371
0.39313 	 -0.12675
0.46462 	 -0.11196
0.53728 	 -0.0901
0.60971 	 -0.06375
0.68053 	 -0.03755
0.74837 	 -0.01636
0.81195 	 -0.00298
0.87003 	 0.00299
0.92151 	 0.00324
0.9654 	 -0.00052
1.00086 	 -0.00517
