FFA-W3-241
0.98338 	 0.00727
0.94365 	 0.01529
0.89589 	 0.0251
0.84102 	 0.03673
0.7801 	 0.04996
0.71428 	 0.06441
0.64485 	 0.07935
0.57311 	 0.09382
0.50045 	 0.1067
0.42827 	 0.11696
0.35794 	 0.1235
0.29081 	 0.12526
0.22817 	 0.12153
0.17121 	 0.11247
0.12104 	 0.09873
0.07861 	 0.08139
0.04474 	 0.0617
0.02006 	 0.04087
0.00507 	 0.02005
4e-05 	 0.0016
0.0013 	 -0.00903
0.01133 	 -0.0255
0.03122 	 -0.04334
0.06056 	 -0.06188
0.0988 	 -0.07985
0.14522 	 -0.0956
0.19891 	 -0.10754
0.25885 	 -0.11441
0.32389 	 -0.11531
0.39279 	 -0.10938
0.46422 	 -0.09623
0.53681 	 -0.07651
0.60918 	 -0.05308
0.67994 	 -0.03015
0.74772 	 -0.01183
0.81124 	 -0.0003
0.86928 	 0.00473
0.92072 	 0.00466
0.96457 	 0.00096
1.0 	 -0.0036
